heartRate,stepCount,activeEnergyBurned,runningSpeed,fatigue_label
112,8850,384,0.18278481012658226,1
168,2821,612,0.015068493150684932,0
133,18898,540,0.26962962962962966,1
118,14102,672,0.16794871794871793,0
170,16518,410,0.056607142857142856,0
142,10895,301,0.5936363636363636,0
114,4687,351,0.059357798165137615,0
159,11234,518,0.09204819277108434,0
123,9372,226,0.5296,0
171,19073,265,0.142,0
147,3478,292,0.43516129032258066,1
85,17568,761,0.09819819819819821,0
98,8098,664,0.13566265060240965,0
96,3597,205,0.025666666666666667,0
85,9695,463,0.0384,0
87,10346,191,0.11888888888888889,0
92,16563,272,0.13633333333333333,0
100,1056,855,0.1247872340425532,0
120,12065,404,0.15365384615384617,0
148,13797,821,0.25137254901960787,0
91,14796,695,0.7163157894736841,1
132,19502,221,0.41714285714285715,0
174,5310,772,0.17683333333333331,0
142,2065,737,0.09115384615384615,0
175,19656,861,0.8192857142857143,1
157,18426,685,0.10677777777777778,1
112,8924,629,0.05786885245901639,0
108,17737,344,0.14421052631578948,1
169,8048,850,0.16252873563218392,0
106,3022,638,0.10801980198019802,0
115,17512,791,0.04839285714285714,0
85,13746,849,0.007710843373493976,0
92,5434,482,0.07129032258064516,1
127,5364,486,0.17891891891891892,1
127,9209,949,0.7075,1
173,5260,689,0.1411111111111111,1
87,2483,304,0.10666666666666666,0
89,6613,155,0.05238805970149253,0
109,8357,297,0.12200000000000001,0
88,15851,161,0.27767441860465114,0
134,10133,121,0.0475,1
128,12079,927,0.14336633663366338,0
173,19400,508,0.0637962962962963,0
112,12503,900,0.13958333333333334,0
155,7163,697,0.14127906976744187,0
131,6906,799,0.013813559322033897,0
124,3864,872,0.07575,1
144,5052,506,0.01883116883116883,1
144,11778,767,0.0052427184466019424,0
108,14812,976,0.11721739130434783,0
145,7504,337,0.2868888888888889,1
157,9861,765,0.07157894736842105,0
106,10944,376,0.06966101694915255,0
91,19207,983,0.04766233766233766,0
115,7042,104,0.0611,1
97,17141,920,0.14,0
142,17869,155,1.1041666666666667,0
134,13146,455,0.09714285714285714,1
132,9322,388,0.15368421052631578,1
136,2587,264,0.775,1
152,16715,639,0.1788888888888889,0
160,16743,896,0.03538461538461539,1
138,2618,891,0.27899999999999997,0
167,15113,360,0.05591836734693878,0
121,11697,247,0.25133333333333335,0
170,15095,287,0.16794871794871793,0
111,3838,255,0.26974358974358975,0
147,14669,113,0.152183908045977,0
165,14355,546,0.62125,0
93,15296,934,0.1449056603773585,0
115,2265,321,0.042499999999999996,0
178,17220,693,0.1,0
128,1988,739,0.3433333333333333,0
113,18445,628,0.11236363636363636,1
109,17911,244,0.1025,0
109,5366,748,0.37324999999999997,0
112,4614,447,0.055961538461538465,1
179,14037,707,0.09136842105263157,0
119,5178,445,0.14043956043956043,0
131,5308,849,0.06592592592592593,0
170,18317,796,0.7031578947368421,0
152,16327,929,0.2328125,0
150,15125,472,0.6481818181818182,0
172,14825,846,0.01,0
126,18867,524,0.06051282051282051,0
103,15743,541,0.0708,0
96,13642,125,0.22980392156862747,0
88,6310,595,0.08017543859649123,1
99,5561,927,0.41413793103448276,0
90,19815,756,0.008875,1
87,2312,677,1.0025,0
145,16019,662,0.045,0
163,12757,323,0.06834782608695653,0
95,13141,631,0.05646551724137931,0
116,2658,931,0.1172857142857143,0
156,7092,434,0.026847826086956524,1
97,5592,890,0.14297029702970296,1
168,14430,116,0.0836,0
93,2451,311,0.03514018691588785,0
104,17526,999,0.14178082191780822,0
107,6390,494,0.20383333333333334,0
136,18797,601,0.15342857142857144,1
106,8433,953,0.09329268292682927,0
97,2809,473,0.2988461538461538,0
177,14077,600,0.3933333333333333,0
140,4391,205,0.15233333333333335,0
177,13007,948,0.03763440860215054,0
102,1399,808,0.1063855421686747,0
127,1232,210,0.28615384615384615,0
128,10356,388,0.07909090909090909,0
80,13213,162,0.12395833333333334,0
90,16226,167,0.16758064516129034,0
90,17157,280,0.11765306122448979,0
124,11222,980,0.16459459459459458,1
158,2472,827,0.2805714285714286,1
81,1615,118,0.032682926829268294,1
117,12733,952,0.2084375,0
166,5132,395,0.06439024390243903,0
80,10189,459,0.03717948717948718,0
118,13938,735,0.2,1
155,19139,758,0.05936170212765957,0
112,16139,303,0.04074074074074074,1
105,1360,696,0.02756302521008403,0
94,18314,570,0.17256756756756755,0
90,6433,415,0.0215625,0
155,15661,458,0.12232876712328766,0
169,19928,616,0.4977777777777778,0
129,19121,315,0.11463414634146342,0
155,12387,737,0.21706896551724136,1
104,8906,661,0.1256140350877193,0
85,5981,275,0.3972972972972973,1
105,1843,351,0.1547457627118644,0
134,18559,697,0.3423076923076923,1
142,10885,629,0.02404255319148936,0
114,8489,538,0.06254545454545454,0
156,11306,469,0.1655,1
161,4958,359,0.775625,1
148,10123,470,0.07979166666666666,0
115,13413,466,0.14462962962962964,1
92,9949,528,0.11844827586206896,1
144,5633,420,0.5716,0
178,4539,432,0.08442307692307692,0
145,13866,315,0.746,0
169,6590,968,0.031327433628318586,0
108,12207,922,0.047549019607843135,0
98,1542,528,0.5121428571428571,0
161,10805,239,0.04384615384615384,0
179,5264,195,0.11127659574468086,1
120,3385,543,0.18558441558441557,0
110,13485,367,0.1663235294117647,0
160,2337,520,0.175,0
95,5074,464,0.01583333333333333,1
90,5978,508,0.17609756097560975,0
153,14169,751,0.047692307692307694,0
163,19717,182,0.11817073170731707,1
84,8764,469,0.21571428571428572,0
134,4452,687,0.18576923076923077,1
126,11159,582,0.6825,1
156,11236,926,0.1974,1
111,19882,855,0.10583333333333333,0
134,1529,756,0.08881188118811882,0
179,19847,155,1.1207692307692307,1
84,9492,560,0.09372549019607844,0
134,12672,375,0.2092452830188679,0
177,14243,451,0.07757142857142857,0
80,9634,472,0.13477477477477479,1
146,6079,565,0.19452054794520546,1
154,6457,159,0.15304347826086956,0
153,4207,942,0.22228571428571428,0
155,19805,123,0.48200000000000004,1
125,2503,291,0.5977272727272728,0
129,17887,136,0.015904761904761904,0
160,18212,301,0.04963963963963964,1
147,16641,213,0.07942307692307692,0
178,3302,248,0.040568181818181816,1
138,11425,947,0.05390243902439024,0
177,14962,615,0.10337078651685393,0
121,17825,225,0.05780487804878049,0
151,5713,673,0.09081081081081081,0
111,14443,838,0.14833333333333334,0
131,3136,958,0.20424242424242425,0
172,11907,857,0.5092,0
134,12848,608,0.15564102564102564,0
132,15019,475,0.05988636363636363,0
102,1335,562,0.07671052631578948,0
146,15052,734,0.4025,1
133,2042,506,0.25717391304347825,1
131,8758,369,0.20612244897959184,0
87,12302,845,0.09,0
115,9662,732,0.07037974683544303,0
86,14591,566,0.07424528301886793,1
123,3140,901,0.020625,0
98,16341,232,0.48370370370370375,0
139,2704,757,0.05352112676056338,0
159,2245,876,0.72,1
137,4523,993,0.10520408163265306,0
120,12131,751,0.09000000000000001,0
121,4951,827,0.2690740740740741,0
111,4755,604,0.17303571428571426,1
171,1667,884,0.08622448979591836,0
106,14513,530,0.11223529411764704,1
133,12678,507,0.14613333333333334,0
135,6275,542,0.010089285714285714,1
171,8606,693,0.008144329896907217,0
140,2731,406,0.18789473684210528,0
147,18690,929,0.35948717948717945,0
141,17284,643,0.11264705882352942,0
179,11160,498,0.5116666666666667,0
155,16725,937,0.08938775510204082,0
150,1582,306,0.1430508474576271,1
137,15689,186,0.16486842105263158,0
104,11533,371,0.01606060606060606,0
143,11484,905,0.10738317757009345,0
169,8791,564,0.016388888888888887,1
82,3932,577,0.41615384615384615,1
178,6773,304,0.6883333333333334,0
88,19970,398,0.1387962962962963,1
96,11231,920,0.15157894736842106,1
147,3527,825,0.19492957746478873,1
168,2027,805,0.2427272727272727,0
167,15550,819,0.04765957446808511,0
82,10688,490,0.17070588235294118,1
119,6260,822,0.06558139534883721,1
